1, 599, "nVidia GTX3080", "Tarjeta Gráfica ultra+ potente", 150, 20, 12, 3, null, null, null
1, 499, "nVidia GTX2090", "Tarjeta Gráfica ultra potente", 144, 21, 14, 4, null, null, null
1, 229, "Intel Core i5 13500", "Procesador de nueva generacion", 21, 3, 3, 1, null, null, null
1, 499, "AMD Ryzen 7 5800X", "Procesador de alto rendimiento", 75, 10, 8, 2, null, null, null
1, 179, "Corsair Vengeance LPX 16GB", "Memoria RAM DDR4 de 16GB", 35, 13, 7, 1, null, null, null
1, 129, "Samsung 970 EVO 500GB SSD", "Unidad de estado sólido rápida y confiable", 50, 10, 7, 0.9, null, null, null
1, 79, "Cooler Master Hyper 212 RGB", "Refrigeración de CPU eficiente y con iluminación RGB", 650, 12, 10, 16, null, null, null
1, 249, "Asus ROG Strix B550-F Gaming", "Placa base para gaming de alta gama", 1100, 30, 24, 4, null, null, null
1, 89, "Logitech G Pro X Mechanical Keyboard", "Teclado mecánico para juegos personalizable", 900, 36, 16, 4, null, null, null
1, 299, "LG UltraGear 27GL83A-B", "Monitor gaming QHD de 27 pulgadas", 5500, 61, 25, 40, null, null, null
1, 69, "TP-Link Archer C7 AC1750", "Router Wi-Fi de doble banda para alto rendimiento", 350, 22, 15, 3, null, null, null
1, 199, "EVGA SuperNOVA 750 G5", "Fuente de alimentación modular de 750W", 1800, 18, 15, 8, null, null, null
1, 119, "NZXT H510i Compact ATX Mid-Tower", "Caja de PC con gestión inteligente de cables", 7000, 42, 21, 45, null, null, null
1, 349, "Western Digital Blue 2TB HDD", "Disco duro de 2TB para almacenamiento masivo", 600, 26, 14, 4, null, null, null
1, 129, "HyperX Cloud II Gaming Headset", "Auriculares para juegos con sonido envolvente", 320, 10, 8, 4, null, null, null
1, 169, "MSI MPG X570 Gaming Edge WiFi", "Placa base para gaming con conectividad WiFi", 1250, 30, 24, 3, null, null, null
1, 399, "Intel Core i9-10900K", "Procesador de alto rendimiento de 10 núcleos", 125, 10, 8, 2, null, null, null
1, 99, "Crucial P1 1TB NVMe SSD", "Unidad de estado sólido NVMe de alta velocidad", 40, 8, 6, 0.8, null, null, null
1, 149, "Razer BlackWidow Elite Keyboard", "Teclado mecánico con interruptores Razer", 950, 45, 20, 4, null, null, null
1, 269, "ASUS TUF Gaming VG279Q", "Monitor gaming IPS de 27 pulgadas y 144Hz", 6200, 61, 26, 40, null, null, null
1, 79, "TP-Link Archer T6E AC1300", "Tarjeta de red Wi-Fi para velocidad mejorada", 80, 12, 8, 1, null, null, null
1, 159, "Corsair RM750x 750W", "Fuente de alimentación totalmente modular", 1600, 16, 15, 8, null, null, null
1, 89, "Fractal Design Meshify C", "Caja de PC compacta con excelente flujo de aire", 4500, 41, 21, 45, null, null, null
1, 369, "Gigabyte RTX3060", "Tarjeta Gráfica de rendimiento medio", 120, 18, 11, 2, null, null, null
1, 319, "AMD Ryzen 5 5600X", "Procesador de excelente relación rendimiento-precio", 45, 8, 6, 2, null, null, null
1, 179, "Kingston HyperX Fury 8GB", "Memoria RAM DDR4 de alta velocidad", 40, 13, 7, 1, null, null, null
1, 249, "Crucial MX500 1TB SSD", "Unidad de estado sólido confiable y de gran capacidad", 60, 9, 7, 0.7, null, null, null
1, 89, "NZXT Kraken X53 RGB", "Refrigeración líquida para CPU con iluminación RGB", 980, 12, 8, 5, null, null, null
1, 329, "MSI B450 TOMAHAWK MAX", "Placa base AMD con amplias opciones de conectividad", 1150, 30, 24, 4, null, null, null
1, 149, "Corsair K95 RGB Platinum XT", "Teclado mecánico premium con retroiluminación RGB", 1100, 36, 16, 4, null, null, null
1, 279, "LG 27GL850-B 27'' Nano IPS", "Monitor gaming QHD con tasa de refresco de 144Hz", 5500, 61, 25, 40, null, null, null
1, 59, "TP-Link TL-WR841N", "Router Wi-Fi de bajo coste para uso doméstico", 250, 20, 15, 3, null, null, null
